Seed,Dataset,Model,HyperOpt params
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
0,报告数据,lgbm,"{'learning_rate': '0.0010', 'lambda_l2': '0.0639', 'max_depth': '11.0000', 'bagging_fraction': '0.7587', 'feature_fraction': '0.3212'}"
0,报告数据,lgbm,"{'learning_rate': '0.0236', 'lambda_l2': '0.0021', 'max_depth': '5.0000', 'bagging_fraction': '0.7105', 'feature_fraction': '0.5362'}"
0,报告数据,lgbm,"{'learning_rate': '0.0203', 'lambda_l2': '0.0027', 'max_depth': '10.0000', 'bagging_fraction': '0.7042', 'feature_fraction': '0.4238'}"
0,报告数据,lgbm,"{'learning_rate': '0.0027', 'lambda_l2': '0.0019', 'max_depth': '6.0000', 'bagging_fraction': '0.8150', 'feature_fraction': '0.3209'}"
0,报告数据,lgbm,"{'learning_rate': '0.0081', 'lambda_l2': '0.0009', 'max_depth': '11.0000', 'bagging_fraction': '0.9029', 'feature_fraction': '0.6701'}"
0,报告数据,lgbm,"{'learning_rate': '0.0093', 'lambda_l2': '0.4091', 'max_depth': '9.0000', 'bagging_fraction': '0.9138', 'feature_fraction': '0.3792'}"
0,报告数据,lgbm,"{'learning_rate': '0.0244', 'lambda_l2': '0.5268', 'max_depth': '10.0000', 'bagging_fraction': '0.8306', 'feature_fraction': '0.3165'}"
0,报告数据,lgbm,"{'learning_rate': '0.0043', 'lambda_l2': '0.4927', 'max_depth': '11.0000', 'bagging_fraction': '0.9465', 'feature_fraction': '0.3030'}"
0,报告数据,lgbm,"{'learning_rate': '0.0246', 'lambda_l2': '0.0074', 'max_depth': '9.0000', 'bagging_fraction': '0.7009', 'feature_fraction': '0.3078'}"
0,报告数据,lgbm,"{'learning_rate': '0.0218', 'lambda_l2': '0.0408', 'max_depth': '11.0000', 'bagging_fraction': '0.7572', 'feature_fraction': '0.7489'}"
0,报告数据,lgbm,"{'learning_rate': '0.0108', 'lambda_l2': '23.0510', 'max_depth': '11.0000', 'bagging_fraction': '0.9087', 'feature_fraction': '0.7103'}"
0,报告数据,lgbm,"{'learning_rate': '0.0146', 'lambda_l2': '0.0001', 'max_depth': '11.0000', 'bagging_fraction': '0.9484', 'feature_fraction': '0.4959'}"
0,报告数据,xgb,"{'lambda': '0.0000', 'gamma': '0.0000', 'subsample': '0.7946', 'colsample_bytree': '0.3116', 'max_depth': '11.0000', 'eta': '0.0022', 'scale_pos_weight': '1.0121'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'gpu_hist'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,xgb,"{'lambda': '0.0003', 'gamma': '0.4918', 'subsample': '0.7427', 'colsample_bytree': '0.4985', 'max_depth': '11.0000', 'eta': '0.0073', 'scale_pos_weight': '1.0027'}"
0,报告数据,xgb,"{'lambda': '0.7911', 'gamma': '0.0053', 'subsample': '0.8675', 'colsample_bytree': '0.3589', 'max_depth': '9.0000', 'eta': '0.0016', 'scale_pos_weight': '1.0060'}"
0,报告数据,xgb,"{'lambda': '0.0002', 'gamma': '0.2991', 'subsample': '0.7347', 'colsample_bytree': '0.3807', 'max_depth': '9.0000', 'eta': '0.0022', 'scale_pos_weight': '1.0045'}"
0,报告数据,xgb,"{'lambda': '0.0002', 'gamma': '0.0000', 'subsample': '0.8679', 'colsample_bytree': '0.3117', 'max_depth': '11.0000', 'eta': '0.0165', 'scale_pos_weight': '1.0193'}"
0,报告数据,xgb,"{'lambda': '0.0000', 'gamma': '0.0000', 'subsample': '0.8835', 'colsample_bytree': '0.4029', 'max_depth': '11.0000', 'eta': '0.0014', 'scale_pos_weight': '1.0268'}"
0,报告数据,lgbm,"{'learning_rate': '0.0293', 'lambda_l2': '0.0151', 'max_depth': '11.0000', 'bagging_fraction': '0.9475', 'feature_fraction': '0.3002'}"
0,报告数据,lgbm,"{'learning_rate': '0.0299', 'lambda_l2': '0.0001', 'max_depth': '9.0000', 'bagging_fraction': '0.7054', 'feature_fraction': '0.9999'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,xgb,"{'lambda': '0.0006', 'gamma': '0.0000', 'subsample': '0.9049', 'colsample_bytree': '0.5062', 'max_depth': '9.0000', 'eta': '0.0031', 'scale_pos_weight': '1.0123'}"
0,报告数据,xgb,"{'lambda': '0.0000', 'gamma': '0.0011', 'subsample': '0.8200', 'colsample_bytree': '0.3001', 'max_depth': '9.0000', 'eta': '0.0034', 'scale_pos_weight': '1.0184'}"
0,报告数据,xgb,"{'lambda': '0.0000', 'gamma': '0.0001', 'subsample': '0.8069', 'colsample_bytree': '0.3521', 'max_depth': '11.0000', 'eta': '0.0116', 'scale_pos_weight': '1.0158'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,lgbm,"{'learning_rate': '0.0030', 'lambda_l2': '0.0175', 'max_depth': '9.0000', 'bagging_fraction': '0.8144', 'feature_fraction': '0.3081'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
